Topo,Z,b,Mode,C_mean
BA,4,1.0,amnesic,0.99952
BA,4,1.1,amnesic,0.9995599999999999
BA,4,1.2,amnesic,0.9995599999999999
BA,4,1.3,amnesic,0.99952
BA,4,1.4,amnesic,0.9995599999999999
BA,4,1.5,amnesic,0.9994799999999999
BA,4,1.6,amnesic,0.9994399999999999
BA,4,1.7,amnesic,0.9995599999999999
BA,4,1.8,amnesic,0.9994399999999999
BA,4,1.9,amnesic,0.9994
BA,4,2.0,amnesic,0.9993599999999999
BA,4,1.0,memory,0.99952
BA,4,1.1,memory,0.9999600000000001
BA,4,1.2,memory,1.0
BA,4,1.3,memory,1.0
BA,4,1.4,memory,1.0
BA,4,1.5,memory,1.0
BA,4,1.6,memory,1.0
BA,4,1.7,memory,1.0
BA,4,1.8,memory,1.0
BA,4,1.9,memory,1.0
BA,4,2.0,memory,1.0
ER,16,1.0,amnesic,1.0
ER,16,1.1,amnesic,1.0
ER,16,1.2,amnesic,1.0
ER,16,1.3,amnesic,1.0
ER,16,1.4,amnesic,1.0
ER,16,1.5,amnesic,1.0
ER,16,1.6,amnesic,1.0
ER,16,1.7,amnesic,0.9
ER,16,1.8,amnesic,0.78
ER,16,1.9,amnesic,0.74
ER,16,2.0,amnesic,0.56012
ER,16,1.0,memory,1.0
ER,16,1.1,memory,1.0
ER,16,1.2,memory,0.9275999999999999
ER,16,1.3,memory,0.72976
ER,16,1.4,memory,0.59288
ER,16,1.5,memory,0.34
ER,16,1.6,memory,0.28
ER,16,1.7,memory,0.22
ER,16,1.8,memory,0.14
ER,16,1.9,memory,0.12
ER,16,2.0,memory,0.08
