Topo,Z,b,Cost_Pct,C_mean,C_std,V_mean,V_std,Tstop_mean,Stop_max_frac
ER,4,1.1,-0.1,0.9854799999999996,0.0042106531559843305,0.07204,0.13399372522622094,1250.0,0.0
ER,4,1.2,-0.1,0.9853566666666664,0.004110778515074823,0.02028,0.011919798656017642,1454.0,0.0
ER,4,1.3,-0.1,0.42951999999999996,0.06932769720681627,0.006280000000000001,0.003857667689161419,15000.0,1.0
ER,4,1.4,-0.1,0.0949212,0.10965395507030287,0.006280000000000001,0.003857667689161419,11331.0,0.48
ER,4,1.5,-0.1,0.011680000000000006,0.004855677089757928,0.006400000000000001,0.0039395431207184415,2460.0,0.02
ER,4,1.6,-0.1,0.011240000000000007,0.004231122782430217,0.006160000000000001,0.003833327536227501,2352.0,0.0
ER,4,1.7,-0.1,0.011247333333333342,0.004299323409302655,0.006160000000000001,0.0038954332236607525,1879.0,0.0
ER,4,1.8,-0.1,0.01112160000000001,0.004177809646214153,0.006040000000000001,0.003805049276947672,1464.0,0.0
ER,4,1.9,-0.1,0.011120000000000008,0.004179186523714876,0.006040000000000001,0.003805049276947672,1336.0,0.0
ER,4,2.0,-0.1,0.011120000000000008,0.004179186523714876,0.006040000000000001,0.003805049276947672,1259.0,0.0
ER,4,1.1,-0.05,0.9854799999999996,0.0042106531559843305,0.033280000000000004,0.018769166204176468,1250.0,0.0
ER,4,1.2,-0.05,0.9853558666666663,0.004105784729974247,0.016880000000000003,0.008334602570008962,1385.0,0.0
ER,4,1.3,-0.05,0.4336,0.05791027542673235,0.006280000000000001,0.003857667689161419,15000.0,1.0
ER,4,1.4,-0.05,0.05300013333333333,0.07634362493055839,0.006160000000000001,0.003833327536227501,8855.0,0.3
ER,4,1.5,-0.05,0.011442000000000008,0.004931334234599532,0.006160000000000001,0.0038954332236607525,2872.0,0.02
ER,4,1.6,-0.05,0.011120000000000008,0.004179186523714876,0.006040000000000001,0.003805049276947672,1623.0,0.0
ER,4,1.7,-0.05,0.011121466666666675,0.004178928579326421,0.006040000000000001,0.003805049276947672,1506.0,0.0
ER,4,1.8,-0.05,0.011246800000000008,0.004528289054378048,0.006160000000000001,0.004134537459015216,1304.0,0.0
ER,4,1.9,-0.05,0.011000000000000008,0.0038832975677895224,0.005920000000000001,0.0037085846356797627,1250.0,0.0
ER,4,2.0,-0.05,0.011000000000000008,0.0038832975677895224,0.005920000000000001,0.0037085846356797627,1250.0,0.0
ER,4,1.1,0.0,0.9853599999999996,0.004334789498926179,0.024920000000000005,0.012484934921736678,1250.0,0.0
ER,4,1.2,0.0,0.985238933333333,0.004230937770492311,0.014400000000000001,0.007343023900274328,1415.0,0.0
ER,4,1.3,0.0,0.43656000000000006,0.06386991780173197,0.006160000000000001,0.003833327536227501,15000.0,1.0
ER,4,1.4,0.0,0.077642,0.09599761908390113,0.006040000000000001,0.003805049276947672,10787.0,0.42
ER,4,1.5,0.0,0.01112293333333334,0.004179370321525058,0.006040000000000001,0.003805049276947672,2228.0,0.0
ER,4,1.6,0.0,0.011126800000000008,0.004260309115545494,0.006040000000000001,0.00404949379552556,1753.0,0.0
ER,4,1.7,0.0,0.011126800000000008,0.00401392298879787,0.006040000000000001,0.003805049276947672,1316.0,0.0
ER,4,1.8,0.0,0.011000000000000008,0.0038832975677895224,0.005920000000000001,0.0037085846356797627,1255.0,0.0
ER,4,1.9,0.0,0.010760000000000007,0.003937308725512901,0.005680000000000001,0.0036956190279843516,1250.0,0.0
ER,4,2.0,0.0,0.010760000000000007,0.003937308725512901,0.005680000000000001,0.0036956190279843516,1250.0,0.0
ER,4,1.1,0.05,0.9853599999999996,0.004334789498926179,0.02328,0.010686514866877788,1250.0,0.0
ER,4,1.2,0.05,0.9851114666666664,0.00417608578881663,0.011239999999999998,0.006510176648908998,1438.0,0.0
ER,4,1.3,0.05,0.45428,0.07014272307231877,0.006040000000000001,0.003805049276947672,15000.0,1.0
ER,4,1.4,0.05,0.06617346666666667,0.09701371613897353,0.005920000000000001,0.0037085846356797627,8800.0,0.32
ER,4,1.5,0.05,0.011002666666666676,0.003882697573137067,0.005920000000000001,0.0037085846356797627,2004.0,0.0
ER,4,1.6,0.05,0.010760000000000007,0.003937308725512901,0.005680000000000001,0.0036956190279843516,1673.0,0.0
ER,4,1.7,0.05,0.010760400000000008,0.003936826112492146,0.005680000000000001,0.0036956190279843516,1252.0,0.0
ER,4,1.8,0.05,0.010760000000000007,0.003937308725512901,0.005680000000000001,0.0036956190279843516,1250.0,0.0
ER,4,1.9,0.05,0.010760000000000007,0.003937308725512901,0.005680000000000001,0.0036956190279843516,1250.0,0.0
ER,4,2.0,0.05,0.010760000000000007,0.003937308725512901,0.005680000000000001,0.0036956190279843516,1250.0,0.0
ER,4,1.1,0.1,0.9851199999999996,0.004003198721023053,0.019799999999999998,0.009391485505499116,1250.0,0.0
ER,4,1.2,0.1,0.9849999999999995,0.003883297567789597,0.00976,0.004941902467673761,1395.0,0.0
ER,4,1.3,0.1,0.44388000000000005,0.06487946978821575,0.005920000000000001,0.0037085846356797627,15000.0,1.0
ER,4,1.4,0.1,0.06948,0.10086094189526489,0.005680000000000001,0.0036956190279843516,8624.0,0.28
ER,4,1.5,0.1,0.011040400000000006,0.004476335090227273,0.005680000000000001,0.0036956190279843516,2427.0,0.02
ER,4,1.6,0.1,0.010760000000000007,0.003937308725512901,0.005680000000000001,0.0036956190279843516,1482.0,0.0
ER,4,1.7,0.1,0.010760400000000008,0.003936826112492146,0.005680000000000001,0.0036956190279843516,1251.0,0.0
ER,4,1.8,0.1,0.010760000000000007,0.003937308725512901,0.005680000000000001,0.0036956190279843516,1250.0,0.0
ER,4,1.9,0.1,0.010760000000000007,0.003937308725512901,0.005680000000000001,0.0036956190279843516,1250.0,0.0
ER,4,2.0,0.1,0.010760000000000007,0.003937308725512901,0.005680000000000001,0.0036956190279843516,1250.0,0.0
ER,4,1.1,0.2,0.9848799999999995,0.004062708456190369,0.01268,0.006444967028620085,1250.0,0.0
ER,4,1.2,0.2,0.9847546666666663,0.003940758415443603,0.007280000000000001,0.004795998331942996,1478.0,0.0
ER,4,1.3,0.2,0.40375999999999995,0.13802877381183967,0.005680000000000001,0.0036956190279843516,13900.0,0.92
ER,4,1.4,0.2,0.04120693333333334,0.0741655992727386,0.005680000000000001,0.0036956190279843516,7620.0,0.22
ER,4,1.5,0.2,0.010760000000000007,0.003937308725512901,0.005680000000000001,0.0036956190279843516,1902.0,0.0
ER,4,1.6,0.2,0.010760000000000007,0.003937308725512901,0.005680000000000001,0.0036956190279843516,1348.0,0.0
ER,4,1.7,0.2,0.010760400000000008,0.003936826112492146,0.005680000000000001,0.0036956190279843516,1251.0,0.0
ER,4,1.8,0.2,0.010640000000000007,0.003928154783101097,0.005560000000000001,0.003584187495095646,1250.0,0.0
ER,4,1.9,0.2,0.010640000000000007,0.003928154783101097,0.005560000000000001,0.003584187495095646,1250.0,0.0
ER,4,2.0,0.2,0.010640000000000007,0.003928154783101097,0.005560000000000001,0.003584187495095646,1250.0,0.0
ER,4,1.1,0.5,0.9847599999999995,0.004057388322554394,0.00656,0.003600888779176608,1250.0,0.0
ER,4,1.2,0.5,0.7898359999999996,0.38963781891278343,0.006000000000000001,0.003532704346531138,1595.0,0.0
ER,4,1.3,0.5,0.26036000000000004,0.20215071209372476,0.005560000000000001,0.003584187495095646,9779.0,0.62
ER,4,1.4,0.5,0.03057293333333334,0.06249727208140991,0.005560000000000001,0.003584187495095646,4212.0,0.1
ER,4,1.5,0.5,0.010640000000000007,0.003928154783101097,0.005560000000000001,0.003584187495095646,1716.0,0.0
ER,4,1.6,0.5,0.010640266666666674,0.00392865483566294,0.005560000000000001,0.003584187495095646,1341.0,0.0
ER,4,1.7,0.5,0.010640400000000008,0.003927683266252514,0.005560000000000001,0.003584187495095646,1251.0,0.0
ER,4,1.8,0.5,0.010640000000000007,0.003928154783101097,0.005560000000000001,0.003584187495095646,1250.0,0.0
ER,4,1.9,0.5,0.010640000000000007,0.003928154783101097,0.005560000000000001,0.003584187495095646,1250.0,0.0
ER,4,2.0,0.5,0.010640000000000007,0.003928154783101097,0.005560000000000001,0.003584187495095646,1250.0,0.0
