b;theta_0;theta_0,2;theta_0,4;theta_0,6;theta_0,8;theta_1
1,00;0,84;0,84;0,84;0,84;0,84;0,84
1,10;0,73;0,74;0,67;0,65;0,65;0,65
1,20;0,60;0,55;0,47;0,45;0,45;0,45
1,30;0,46;0,38;0,32;0,32;0,32;0,32
1,40;0,34;0,27;0,19;0,19;0,19;0,19
1,50;0,20;0,12;0,07;0,07;0,07;0,07
1,60;0,13;0,07;0,04;0,04;0,04;0,04
1,70;0,06;0,04;0,02;0,02;0,02;0,02
1,80;0,03;0,01;0,01;0,01;0,01;0,01
1,90;0,01;0,01;0,01;0,01;0,01;0,01
2,00;0,01;0,00;0,00;0,00;0,00;0,00
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
