b,theta_0,theta_0.2,theta_0.4,theta_0.6,theta_0.8,theta_1
1.000000000000000000e+00,9.828000000000000069e-01,9.828000000000000069e-01,9.828000000000000069e-01,9.828000000000000069e-01,9.828000000000000069e-01,9.828000000000000069e-01
1.100000000000000089e+00,8.227999999999999758e-01,8.481999999999999540e-01,8.146000000000001018e-01,8.146000000000001018e-01,8.146000000000001018e-01,8.146000000000001018e-01
1.199999999999999956e+00,5.712000000000000410e-01,5.654000000000000137e-01,4.567999999999999838e-01,4.567999999999999838e-01,4.567999999999999838e-01,4.567999999999999838e-01
1.300000000000000044e+00,3.364000000000000323e-01,1.217999999999999916e-01,4.920000000000000068e-02,4.280000000000000471e-02,4.280000000000000471e-02,4.280000000000000471e-02
1.399999999999999911e+00,8.000000000000000167e-02,1.159999999999999920e-02,1.799999999999999951e-03,1.799999999999999951e-03,1.799999999999999951e-03,1.799999999999999951e-03
1.500000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.600000000000000089e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.700000000000000178e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.800000000000000044e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.899999999999999911e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
2.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
